Keywords,Utterance,Response
"rooms, accommodation, stay","what rooms do you have, room types, suite options","We offer elegant rooms and suites with premium bedding, city views, and easy online booking through our Rooms page."
"booking, book,  reserve, reservation","how do i book a room, book a stay, reserve a room","Use our Quick Booking panel on the home page or visit /rooms to select your check-in, check-out dates, and guest count."
"dining, food, restaurant","what is on the menu, dining options, order food","Explore our Dining page for chef specials, signature dishes, and fresh restaurant meals available for delivery or pickup."
"events, meetings, celebration","host an event, book a meeting room, event inquiry","We provide elegant spaces for business meetings, family celebrations, and private dinners—visit /events to submit your inquiry."
"contact, location, phone, email","how can i contact you, where are you located, phone number","Elite Hotels is in Westlands, Nairobi. Call +254 700 123 456 or email reservations@elitehotels.com for help."
"signin, login, account","sign in, login, access my booking","Go to the Sign In page to access your account, view bookings, or manage your profile. New guests can register on Sign Up."
"signup, register, create account","create an account, register, new user","Visit the Sign Up page to create an account and save your details for faster booking in the future."
"profile, my profile, account details","where is my profile, view my profile","After signing in, open the Profile page to view your user details and booking history."
"makepayment, payment, checkout","how do i pay, complete payment, checkout","Proceed to the Make Payment page to finalize your booking safely and securely."
"contactus, help, support","need help, contact support, customer service","Use the Contact Us page to send a message, or reach out directly by phone or email for support with your reservation."
"rooms, suite, deluxe","do you have suites, deluxe room, king room","Yes, we offer premium suites and deluxe rooms. Check the /rooms section to compare amenities and pricing."
"breakfast, food, dining","is breakfast included, breakfast options","Many rooms include breakfast. Visit the Dining page or ask our team to add breakfast to your stay."
"check in, arrival, arrival time","what time can i check in, arrival time","Standard check-in begins at 2:00 PM. If you need an earlier arrival, contact us and we will do our best to help."
"check out, departure, leaving","what time is check out, late check-out","Check-out is at 11:00 AM. Late check-out may be available on request depending on availability."
"family room, kids, children","do you have family rooms, rooms for children","We have spacious room options for families. Visit the Rooms page to find room options that accommodate children comfortably."
"promotion, discount, offer","any promotions, discount codes, special offers","Check our website for seasonal offers and special packages. Booking early often gives the best rates."
"location, nearby, attractions","what is near the hotel, nearby attractions","Elite Hotels is in Westlands, close to Nairobi business hubs, shopping centers, and dining spots."
"wifi, internet, network","do you have wifi, internet access","Complimentary high-speed Wi-Fi is available throughout the hotel for all guests."
"parking, car, valet","do you offer parking, valet service","We offer secure guest parking. For valet or special requests, please contact the front desk."
"meeting room, conference, conference room","can i book a meeting room, conference space","Yes, our event and meeting spaces can be reserved through the Event Inquiry page."
"cancellation, refund, policy","what is your cancellation policy, refund rules","Cancellation details are shown during booking. Contact our reservations team for help with changes or cancellations."
"restaurant, chef, menu","tell me about the chef, restaurant menu","Our restaurant features signature dishes and fresh daily specials crafted by our chef. Visit /dining for current menu highlights."
"room service, delivery, in room dining","do you have room service, in room dining","Room service is available. Ask the front desk or check the Dining page for delivery options and hours."
"gift card, voucher, package","do you sell gift cards, hotel vouchers","Contact our support team to inquire about gift packages and hotel vouchers for special occasions."
"wellness, spa, fitness","do you have a spa, fitness center","We offer wellness amenities. Please ask the front desk for details on fitness and relaxation services."
"reservation confirmation, booking reference, booking id","how do i get my booking confirmation, reservation reference","A confirmation email is sent after booking. If you need help, open the Contact Us page and we will resend your confirmation."
"guest reviews, ratings, testimonials","what do guests say, reviews","Guests love our hospitality, dining, and comfortable rooms. Check our site testimonials or ask for current guest feedback."
"honeymoon, romantic, couple","do you have honeymoon packages, romantic stay","We offer elegant stays for couples with romantic dining and comfortable rooms. Ask our reservations team for package details."
"suite upgrade, room upgrade, better room","can i upgrade my room, get a better room","Room upgrades depend on availability. Contact us before arrival to request an upgrade."
"reservation change, modify booking, update booking","how can i change my booking, modify reservation","Use the Contact Us page or speak with our reservations team to update your check-in date, guests, or room type."
"dining reservation, restaurant booking, table booking","can i book a table, restaurant reservation","Yes, you can reserve a dining table via our Dining page or contact our team directly for special occasions."
"pets, animals, pet friendly","are pets allowed, pet policy","Please contact us before arrival to discuss pet-friendly options and any applicable policies."
"transport, airport transfer, shuttle","do you offer airport shuttle, airport transfer","We can assist with transport arrangements. Contact our reservations or front desk for airport transfer options."
"business traveler, work trip, business stay","do you have business facilities, business traveler amenities","We provide business-friendly rooms, meeting spaces, and reliable internet for business travelers."
"restaurant hours, dining hours, open hours","when is the restaurant open, dining hours","Dining hours and restaurant details are listed on the Dining page. Please check there for the latest schedule."
"restaurant specials, chef special, daily special","what are the chef specials, daily specials","Our chef specials change regularly. Visit the Dining page for today's featured menu items."
"payment methods, cards, credit card","what payment methods do you accept, card types","We accept major credit cards and online payment methods. Payment details are available on the Make Payment page."
"invoice, receipt, bill","how do i get a receipt, invoice","A receipt is provided after payment. Contact us if you need a copy or assistance with billing."
"child policy, kids stay free, family friendly","what is your child policy, are kids free","Family-friendly room options are available. Contact reservations to confirm child rates and bedding arrangements."
"group booking, group reservation, larger group","can i book for a group, group rates","We can handle group bookings for events and room blocks. Use the Event Inquiry page or contact us for group arrangements."
"hotel amenities, facilities, services","what amenities do you offer, hotel facilities","Our hotel offers comfortable rooms, dining, event spaces, and guest support for a seamless stay."
"room amenities, minibar, toiletries","what is included in the room, minibar availability","Rooms include premium bedding, toiletries, and essential amenities. Minibar service may be available depending on room type."
"front desk, reception, concierge","can i talk to the front desk, concierge help","Yes, our front desk is ready to help with check-in, requests, and local recommendations. Use the Contact Us page for pre-arrival planning."
"hotel safety, security, policies","what are your safety measures, security policies","Guest safety is a priority. Our staff follows hotel safety and cleanliness protocols to ensure a secure stay."
"parking fees, cost, charging","is parking free, parking cost","Parking policies may vary. Contact us for the latest parking availability and any associated fees."
"discount code, promo code, special deal","do you have promo codes, discounts","Check the website for current promotions or contact customer service for special booking offers."
"gift booking, surprise stay, special occasion","can i book a surprise stay, special occasion arrangement","We can help plan surprise stays or special moments. Contact us to arrange a memorable hotel experience."
"restaurant menu, vegetarian, vegan","do you have vegetarian options, vegan menu","Our Dining menu includes vegetarian and special-diet options. Check the Dining page or ask the staff for meal customizations."
"reservations desk, booking help, customer care","who can help me with my reservation, customer care","Use Contact Us for reservation support or call our number for immediate assistance with bookings and questions."
"room photos, gallery, images","can i see room photos, gallery","View photos and room details on the Rooms page to explore our accommodation options visually."
"guest policy, hotel rules, terms and conditions","what are the hotel rules, guest policies","Hotel policies are shared during booking and at check-in. Contact reservations for specific policy details."
"holiday package, seasonal stay, festive offers","do you have holiday packages, festive offers","We often have seasonal packages. Visit the website or contact reservations for holiday promotions and special deals."
"event planning, wedding, reception","do you plan weddings, reception venues","We host weddings and receptions in our event spaces. Submit an Event Inquiry to discuss arrangements and venue setup."
"conference room, seminar, workshop","can i host a seminar or workshop, conference facilities","Our event spaces can be used for seminars and workshops. Contact Event Inquiry to book a conference room."
"room availability, available dates, open rooms","are rooms available, check room availability","Room availability is shown on the booking page. Enter your dates and guest count to see which rooms are open."
